#Clade_name	CSM-7CZ2F	CSM5FZ3N	CSM5FZ3R	CSM5FZ3T	CSM5FZ3V	CSM5FZ3X	CSM5FZ3Z	CSM5FZ42	CSM5FZ44	CSM5FZ46	CSM5FZ4A	CSM5FZ4C	CSM5FZ4E	CSM5FZ4G	CSM5FZ4K	CSM5LLGB	CSM5MCTZ	CSM5MCU4	CSM5MCU8	CSM5MCUA	CSM5MCUC	CSM5MCUE	CSM5MCUG	CSM5MCUK	CSM5MCUQ	CSM5MCUS	CSM5MCUW	CSM5MCUY	CSM5MCV1	CSM5MCV5	CSM5MCVB	CSM5MCVD	CSM5MCVF	CSM5MCVJ	CSM5MCVV	CSM5MCVZ	CSM5MCW4	CSM5MCWA	CSM5MCWI	CSM5MCWK	CSM5MCWM	CSM5MCWS	CSM5MCXB	CSM5MCXF	CSM5MCXX	CSM5MCXZ	CSM5MCYI	CSM5MCYM	CSM5MCYO	CSM5MCYQ	CSM5MCYU	CSM5YRY7	CSM67U9H	CSM67U9P	CSM67U9R	CSM67U9T	CSM67U9V	CSM67U9X	CSM67UAI	CSM67UB5	CSM67UB7	CSM67UB9	CSM67UCU	CSM67UEP	CSM67UET	CSM67UEW	CSM67UF1	CSM67UH3	CSM6J2H9	CSM79HG7	CSM79HGD	CSM79HGF	CSM79HGH	CSM79HGJ	CSM79HGL	CSM79HGN	CSM79HGR	CSM79HGV	CSM79HH2	CSM79HHW	CSM79HJ2	CSM79HJ4	CSM79HJ6	CSM79HJ8	CSM79HJC	CSM79HJI	CSM79HLY	CSM79HM5	CSM79HM9	CSM79HNG	CSM79HNY	CSM79HPM	CSM79HPQ	CSM79HQR	CSM79HQT	CSM7KOKH	CSM7KOKL	CSM7KOKP	CSM7KOMR	CSM7KOMV	CSM7KONS	CSM7KONW	CSM7KONY	CSM7KOQ5	CSM7KOQP	CSM7KOQZ	CSM7KOR4	CSM7KOR8	CSM7KOU7	CSM7KOUJ	ESM5GEYU	ESM5GEYW	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5GEZ3	ESM5GEZ4	ESM5GEZ6	ESM5GEZA	ESM5ME9D	ESM5ME9G	ESM5ME9H	ESM5MEA7	ESM5MEA9	ESM5MEAB	ESM5MEB9	ESM5MEBA	ESM5MEBP	ESM5MEC7	ESM5MEDP	ESM5MEDZ	ESM5MEE2	ESM5MEE6	ESM5MEEJ	ESM718U9	ESM7F5AE	HSM5FZBP	HSM5FZBQ	HSM5FZBR	HSM5FZC2	HSM5MD3L	HSM5MD43	HSM5MD44	HSM5MD47	HSM5MD49	HSM5MD4A	HSM5MD4B	HSM5MD4P	HSM5MD4U	HSM5MD4W	HSM5MD57	HSM5MD59	HSM5MD5B	HSM5MD5D	HSM5MD5F	HSM5MD5H	HSM5MD5K	HSM5MD5X	HSM5MD5Z	HSM5MD6E	HSM5MD6G	HSM5MD6I	HSM5MD6K	HSM5MD6O	HSM5MD6S	HSM5MD6U	HSM5MD7W	HSM5MD7Z	HSM5MD82	HSM5MD87	HSM5MD8A	HSM5MD8B	HSM5MD8D	HSM5MD8F	HSM5MD8H	HSM5MD8J	HSM5MD8L	HSM5MD8N	HSM5MD8P	HSM5MEE5	HSM67VCX	HSM67VDR	HSM67VDT	HSM67VDX	HSM67VFX	HSM67VG2	HSM67VG6	HSM67VGA	HSM67VGE	HSM67VGI	HSM67VIJ	HSM6XRQB	HSM6XRQC	HSM6XRQE	HSM6XRSX	HSM6XRSZ	HSM6XRT2	HSM6XRT4	HSM6XRT6	HSM6XRTA	HSM6XRTC	HSM6XRTE	HSM6XRTG	HSM7CYWS	HSM7CYYR	HSM7CYYV	HSM7CYYZ	HSM7CZ1T	HSM7CZ2J	HSM7CZ2L	HSM7CZ2V	HSM7CZ2X	HSM7J4JT	HSM7J4JV	HSM7J4JW	HSM7J4Q3	HSMA33J1	HSMA33NG	HSMA33P2	MSM5FZ9N	MSM5FZ9Q	MSM5FZ9V	MSM5FZ9X	MSM5FZA2	MSM5LLD6	MSM5LLE3	MSM5LLE9	MSM5LLF2	MSM5LLFG	MSM5LLFK	MSM5LLFM	MSM5LLFO	MSM5LLFU	MSM5LLGD	MSM5LLGF	MSM5LLGH	MSM5LLGJ	MSM5LLGN	MSM5LLGR	MSM5LLH2	MSM5LLH4	MSM5LLH8	MSM5LLHA	MSM5LLHE	MSM5LLHG	MSM5LLHI	MSM5LLHO	MSM5LLHQ	MSM5LLHR	MSM5LLHV	MSM5LLHX	MSM5LLI2	MSM5LLI4	MSM5LLI6	MSM5LLI8	MSM5LLIC	MSM5LLIE	MSM5LLIG	MSM5LLII	MSM5LLIK	MSM5LLIM	MSM5LLIQ	MSM5LLIS	MSM5ZOJY	MSM633FF	MSM6J2JF	MSM6J2JH	MSM6J2M3	MSM6J2N6	MSM6J2PQ	MSM6J2RG	MSM79H52	MSM79H8J	MSM79H94	MSM79H9U	MSM79HBX	MSM79HCN	MSM79HD6	MSM79HD8	MSM79HF1	MSM9VZFJ	MSM9VZJF	MSM9VZJJ	MSM9VZLX	MSM9VZM4	MSM9VZMQ	MSM9VZN4	MSM9VZNV	PSM6XBQM	PSM6XBRK	PSM6XBRM	PSM6XBS2	PSM6XBS4	PSM6XBS6	PSM6XBSC	PSM6XBSE	PSM6XBSG	PSM6XBTF	PSM6XBTH	PSM6XBTJ	PSM6XBTN	PSM6XBTZ	PSM6XBVY	PSM6XBW1	PSM7J13U	PSM7J13Y	PSM7J143	PSM7J149	PSM7J19X	PSM7J1B3	PSM7J1BN	PSM7J1C2	PSM7J1CK	PSM7J1CO	PSM7J1CS	PSMA2651
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.18248	0	0	2.51643	0	3.90386	3.17462	6.07972	6.33128	3.39365	0.00073	0	0	0	0	0.02414	1.0451	0.59785	0.01401	0.00364	0.00114	0.02081	1.40871	1.17872	0.0322	0.01892	0.06868	0.04499	0.53732	3.19722	1.62802	0.03023	0	4.30646	0.1612	0.48701	0.1774	0.10066	0	0.03187	0	0	0.30229	1.04222	0.09618	0	0.07931	0.2321	0.42103	0.09109	0.12892	0	0.36679	0.27326	1.09827	0.02515	0	3.48299	0	2.65188	3.57833	0	0.09741	0.04744	0.06647	0.03581	0.06981	0	0.0055	0	0.54271	0.52316	0.55732	0.06587	1.47278	0.71703	0.11269	0.05379	0.4492	0.29506	10.86854	3.30318	0.16008	2.22883	4.04327	0.17338	0	0.02749	0.31396	0	0.00132	1.158	0.48021	0	0.09318	3.25642	3.8509	1.70349	0.24634	0.06347	0.2878	0.50103	0.23695	0.13506	0	3.22154	1.94775	2.261	0.00273	0.14581	0.45212	0.04177	1.06761	0.67454	5.47389	2.06713	2.80422	2.21682	4.12884	0.07889	0.12113	5.06004	0	0	0	1.39281	0.31192	3.53285	0.11178	0.09654	0.14736	0.11902	0.26189	2.00557	0.15887	1.29224	0.09641	0.22052	0.24175	0.54877	0.54904	0.00671	0	0	3.2907	2.41161	1.46154	0	0	0	0.38775	0.34802	0.38354	0.55312	1.48223	0.443	0.07388	4.93857	0	0.03573	0	0.09397	0.07182	0	0	0	0.09916	0.08858	0.0003	0.16209	0.09343	0.0005	0	0.14499	0.03733	1.06443	0	0	0.00183	0.26458	0.1707	2.89849	0.08721	0.09635	0.93075	0.02536	0.26113	0.03545	0.12722	0.42169	0	0.01501	0	0	0.76761	0.36561	0.26984	0.05301	1.59669	0	0.01143	0.03881	0.00923	0.47294	1.08696	0.12877	0.43459	0.19523	0.20364	0.51519	0.27481	0	0.03188	1.2749	1.40046	0.02705	4.21175	0.13874	4.47721	1.66169	1.2743	0	0.00755	0	0.0826	1.04378	0.38254	0.07003	0.03191	0	0	0	0	0.0342	0.01955	0.10089	0.00591	0.04456	0.01096	6.54548	1.44909	2.17082	1.78761	0	0.04346	0.01856	0.11604	0.54666	4.7443	0.0956	0.0716	0.54233	0.11563	0.60812	0.27246	0.13511	2.03633	2.80276	2.16306	0	0	0	2.5082	0	0	0.15728	1.322	0.79926	3.48282	0.32447	0	0	1.86787	0.04768	0.71707	5.25872	0.23075	0.13371	0.16634	0.19572	1.94777	0.61627	0.09855	1.97051	0	2.5856	3.1272	0.00746	3.45562	2.56291	2.35853	1.13969	1.59668	0	1.06029	0	0.21902	0.63475	0.7629	0.80383	0.79081	2.7842	0.02886	2.81849	2.09783	0.83702	0.45149	0	0	34.0913	0	0.75861	3.72562	0	0.31439	0.00133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi|t__GCF_000371445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_aureus|t__Staphylococcus_aureus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_hydrophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0.01761	0	0	0	0	0	0	0	0	0.25341	0	0.08033	0.22218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27763	0.14943	0	0.35444	0.13786	0	0	0	0	0	0	0	0	0	0	0.03526	0.19862	0.49754	0	0	0	0	0	0	0	0.03531	0.06673	0.12494	0	0	0	0.06304	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01594	0	0	0	0	0	0	0	0	0	0.00245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01874	0	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0.03132	0	0	0.04365	0	0	0	0	0.00351	0	0	0	0	0	0	0.4734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00595	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_vaginae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	4.29106	0	0.1596	0	0.01769	0.14452	0	0.03505	0	0	4.9263	0	4.78397	2.01681	3.89505	0.04597	6.55537	3.16749	3.31563	6.15503	4.70334	2.35169	6.32281	14.72932	8.32576	7.91986	9.36011	9.59758	0	16.17377	0.21427	1.31941	0	0	0	2.65614	2.25679	0.33424	0	5.68945	1.98855	0	0.30507	8.29572	8.14577	7.76264	0.06481	0.57867	3.21242	0	0.69434	0	0.45677	4.08675	8.22218	18.08641	4.986	3.36741	0	2.57548	8.01746	0.01384	3.29059	0	0	0	0	1.27674	5.54248	10.27452	8.83735	4.65005	5.74014	5.46044	6.00366	2.59393	6.16247	2.92341	6.54538	0	2.66306	12.83678	2.04628	9.53255	5.14375	3.61094	0	0	2.91206	0.04482	4.92215	4.02748	1.07583	1.50016	0	5.22372	6.8367	6.50813	0.03203	0.26551	0.84564	3.53077	0.65114	0.23622	0	4.09661	6.39198	6.58961	4.64571	2.07565	0.03814	8.22354	8.74442	5.42265	0.00436	0	10.73357	7.10524	17.00939	5.34465	4.99002	0.00108	0.01786	9.5421	12.97249	9.78604	5.56999	0	9.63559	4.52817	8.27949	9.37931	1.99481	15.95047	1.5684	10.33354	14.8634	13.09864	16.7726	9.89738	1.97519	1.49599	0	0.6069	23.4179	12.59973	29.04142	7.64703	0	0	4.77819	2.86839	3.29809	6.2227	1.62588	11.41098	3.20587	3.21025	3.64433	0.00578	0	0	0	20.65312	2.15928	3.92228	4.28604	5.33124	2.06845	10.06976	5.78565	1.84908	1.37782	10.88637	0	10.20434	1.19545	4.65723	1.80179	4.22145	26.75848	2.77873	5.65326	6.85878	4.74465	2.06646	4.58742	12.01512	2.9698	12.51068	5.25323	0	0	31.60697	1.79261	6.22918	4.53817	6.02865	1.37101	1.12767	1.88944	3.75944	1.44738	8.16037	11.12967	1.50799	4.30841	8.54662	3.034	1.88889	5.50439	27.07947	10.83564	4.70232	6.7752	13.02594	6.16063	6.47977	5.27876	0.12314	0.85993	0	0.21068	0	6.39829	0.67348	0.2757	0.47621	8.1601	0	0.51429	0.04754	0	0	0	0	0	12.4879	5.14833	7.78978	1.62773	2.51036	1.94988	10.46259	11.59155	13.18288	16.4469	7.97131	6.13119	1.89311	7.88965	7.21664	6.58327	9.2463	8.15852	7.58917	9.03705	12.26729	6.70351	19.25374	11.45843	0	0.86575	0	0	4.88372	6.90981	3.61409	2.09009	4.91478	0.92763	16.05283	6.51564	3.57068	2.75866	37.6748	0	2.05914	1.41077	6.46303	4.87196	1.12977	12.63892	7.93971	0	10.63178	0.98745	14.00052	2.77687	7.57807	8.04416	5.48896	0.58793	1.98997	4.02325	7.01687	4.43237	5.56679	8.14386	4.10434	10.60998	5.69871	17.85916	9.06775	6.14138	8.7659	2.84434	6.6989	47.07429	1.69066	4.63557	10.25573	1.73011	1.91313	2.60475	2.68349
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51619	0	0	0	0	0.00826	0	0.0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius|t__Streptococcus_infantarius_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02035	0	0	0.03906	0	0	0	0	0	0	0	0	0	0	0	0	0.09919	0	0	0	0	0	0	0.01653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13745	0	0	0	0	0	0	0	0	0	0	0	0.00618	0.0293	0	0	0	0	0.0348	0.06647	0	0	0.10162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40264	0	0	0	0	0	0	0	0	0	0	0.00597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
