#Clade_name	CSM5FZ3T	CSM5FZ46	CSM5FZ4C	CSM5FZ4G	CSM5FZ4K	CSM5FZ4O	CSM5LLGB	CSM5MCTZ	CSM5MCU4	CSM5MCU6	CSM5MCU8	CSM5MCUC	CSM5MCUE	CSM5MCUG	CSM5MCUK	CSM5MCUQ	CSM5MCUU	CSM5MCUW	CSM5MCUY	CSM5MCV1	CSM5MCV3	CSM5MCVJ	CSM5MCVV	CSM5MCWI	CSM5MCWM	CSM6J2H9	ESM5GEYU	ESM5GEYW	ESM5GEYY	ESM5GEZ1	ESM5GEZ3	ESM5ME9D	ESM5ME9G	ESM5ME9H	ESM5MEA7	ESM5MEA9	ESM5MEBA	ESM5MEBP	ESM5MEDZ	ESM5MEE2	ESM5MEE6	ESM5MEEB	ESM5MEEJ	ESM5MEET	HSM5FZBP	HSM5FZBQ	HSM5FZBU	HSM5FZC2	HSM5MD47	HSM5MD4A	HSM5MD4B	HSM5MD4S	HSM5MD4U	HSM5MD51	HSM5MD57	HSM5MD59	HSM5MD5K	HSM5MD82	HSM5MD87	HSM5MD8A	HSM5MD8N	HSM5MD8P	HSM5MEE5	MSM5FZ9X	MSM5LLD8	MSM5LLFG	MSM5LLFK	MSM5LLFM	MSM5LLFO	MSM5LLFU	MSM5LLGD	MSM5LLGH	MSM5LLH2	MSM5LLH4	MSM5LLH8	MSM5LLHA	MSM5LLHE	MSM5LLHG	MSM5LLHI	MSM5LLHM	MSM5LLHO	MSM5LLHQ	MSM5LLHR	MSM5LLHV	MSM5LLHX	MSM5LLI6	MSM5LLIC	MSM5LLIE	MSM5LLIG	MSM5LLIK	MSM5LLIQ	MSM5LLIS	MSM5ZOJY
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	59.50903	0.43416	0	0	0.24724	0.01116	0	0.06178	0.77443	0	0.47703	0.001	15.58812	4.07655	0	0.4559	0.07549	0.28343	0.03459	40.69546	6.7732	0	0.03875	0.14409	0	0	21.38688	0.00452	1.82209	76.45378	53.27969	0	0.1026	0.10402	10.61645	0	1.24041	46.99536	0.17716	0	0.10521	0	18.04708	0	0.11799	0.11121	0.39595	0.00103	0	1.05838	2.59901	0	0.12593	23.61951	0.04168	0.41666	0	0.02108	0.08753	11.71186	30.46018	23.68376	0	1.03473	11.03079	0.0795	0	0	0	0.08682	0	5.94078	0.03796	3.01886	0.05481	0.17124	0.04861	0.02767	0.01376	1.34632	0.41482	0.2716	30.13433	0.07833	4.18458	6.95239	0.01378	18.4861	8.94579	0	0.87768	28.64008	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02383	0	0	0	0	0	0	0	0	0	0	0	0.00162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04399	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.0793	8.49075	0	0.53292	30.35086	8.91567	0	0.21242	2.87166	39.46635	9.99113	0.44402	38.74692	5.47033	13.73579	18.47557	18.72878	23.72132	69.99011	0.02674	2.79456	0.50746	56.6831	0.12243	9.23921	0.24949	0.14481	0.52523	21.56083	0.39863	0.00921	46.8576	3.75513	11.44917	0.19391	0	0	0.01816	70.1254	59.47715	34.51137	63.59382	51.43084	0.58793	56.17025	76.68217	56.15495	0.2808	0	37.2897	7.39679	0.23956	0.18299	31.17102	5.58586	12.24136	48.94176	4.01486	40.45788	77.83437	0.0718	25.16339	14.03624	12.28145	61.33931	15.0686	0.30076	0.10741	1.42388	35.19288	0	0.00735	0.06499	5.8193	14.61132	37.21622	73.19488	15.10171	2.09189	21.68459	0.081	0	47.71402	35.24526	44.38095	31.50123	32.03079	42.98385	10.82481	19.05189	2.10252	13.16141	0.00769
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified	0	1.91818	0.45807	0	0.14052	0.24995	0	0	0.65172	0	0	0.01493	0	0.11661	1.95589	2.64945	0.1409	1.60999	0	0	0	0	0.24591	0	0.21409	0	1.40739	0.01256	0	6.53812	0.20876	0.11993	1.93872	0.6546	0.13623	40.24135	0	0.47079	0.45099	2.52081	0.02391	0.18026	0.10054	0	0.30128	0.44982	0.09993	0.00289	65.86593	0.29075	8.7522	1.00675	0	0	0	0	38.80451	0	1.24308	0	1.31659	0	3.51504	0	0.16475	1.5663	0.05442	0	0	0.28973	0	0	0.00083	0	0.40928	1.07889	0.6056	0.03377	0	0	0.42961	0.09153	0.29302	0.43658	0.35276	0	0	0.24544	0	0.1733	0	0.20124	0.01822
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0	0	0	0.07222	0	0	0	0.00349	0	0.02376	0	0	2.19642	0.31945	0	0	6.9219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00597	0	0	0	0	0	0	0	0	0	0	0.01165	0	0	0.26629	0	0	0.02684	0	0	0	0	0	0	0	0	0	0	0	0	0.13624	0	0	0.76521	0.00249	0	0	0	0	0.00037	1.51113	0.26483	0.26084	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Tombusviridae|g__Carmovirus|s__Melon_necrotic_spot_virus	11.38497	0	0	0	3.25351	10.55013	0	0.00983	0	0	11.89077	0	0	0	0	0	0	0	0	0	0	22.10309	0.86716	0	1.40126	0	0	0	0	0	0	0.17087	0	0	75.47867	19.70916	0	0	0.78716	0	0	0	0	0	1.01415	0	1.12121	0	0	0	8.88496	0	9.16941	0	0	0	0	0	0	0	1.29868	0	0	3.78884	0	3.46703	0	9.21215	25.77511	0	0	0	99.8447	77.09507	0	0	0	2.40877	97.42361	0	76.63412	0	0	2.56589	5.01359	0	0	0	0	0	0	2.06979	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23783	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus|t__GCF_000154425	0	0	0	0	0	0	0	0	0	0	0	0	0.23734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00989	0	0	0	0	0	0	0	0	0	0	0	0.10184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42519	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Papaya_ringspot_virus|t__PRJNA15289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.40204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00818	0	0	0	0	0.12691	0
k__Bacteria|p__Firmicutes|c__Negativicutes	0	0	0	0.0175	0.05373	0	0	0	0	0	0	0	2.39642	0	0	0	1.11303	0	0	0	0.01543	1.41975	10.56506	0	0	0	0.29241	0	0	0	0	0	0	0	0	0	0	0.10489	0.04072	0.97649	0.00282	0	0	0	3.25489	3.16985	3.60996	0.07053	0	0	0	1.66245	0.5464	0	0	0.01359	0	2.38333	1.40138	0.10617	0	1.76735	0	0	0.01697	0	0.45612	0	0.28511	8.16999	3.82734	0	0.00181	0.36214	0	0	0	0	0.03488	0	0.00186	0	0	11.97418	0.00437	0	0	0	0	0	0	1.88755	0
